48 : .0.3.4.6.1.5.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..2,1,1..3,0,1..0,0,0..6,1,0..1,1,1..2,0,1..5,0,0..4,1,0..6,1,1..0,0,1..2,0,0..1,1,0..5,1,1..6,0,1..4,0,0..3,1,0..4,1,1..5,0,1..1,0,0..0,1,0..3,1,1..4,0,1..3,0,0..2,1,0..
49 : .0.3.4.6.5.1.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..6,1,1..0,0,1..2,0,0..1,1,0..2,1,1..3,0,1..0,0,0..6,1,0..5,1,1..6,0,1..4,0,0..3,1,0..4,1,1..5,0,1..6,0,0..5,1,0..1,1,1..2,0,1..1,0,0..0,1,0..3,1,1..4,0,1..3,0,0..2,1,0..
50 : .0.3.5.2.1.6.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..6,1,1..0,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..3,1,1..4,0,1..6,0,0..5,1,0..2,1,1..3,0,1..0,0,0..6,1,0..4,1,1..5,0,1..3,0,0..2,1,0..1,1,1..2,0,1..5,0,0..4,1,0..
51 : .0.3.5.4.2.1.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..6,1,1..0,0,1..6,0,0..5,1,0..4,1,1..5,0,1..3,0,0..2,1,0..1,1,1..2,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..3,1,1..4,0,1..5,0,0..4,1,0..2,1,1..3,0,1..0,0,0..6,1,0..
52 : .0.3.5.4.2.6.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..4,1,1..5,0,1..3,0,0..2,1,0..6,1,1..0,0,1..1,0,0..0,1,0..3,1,1..4,0,1..5,0,0..4,1,0..2,1,1..3,0,1..0,0,0..6,1,0..1,1,1..2,0,1..4,0,0..3,1,0..5,1,1..6,0,1..2,0,0..1,1,0..
53 : .0.3.5.6.4.1.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..5,1,1..6,0,1..5,0,0..4,1,0..1,1,1..2,0,1..1,0,0..0,1,0..3,1,1..4,0,1..6,0,0..5,1,0..6,1,1..0,0,1..2,0,0..1,1,0..2,1,1..3,0,1..0,0,0..6,1,0..4,1,1..5,0,1..3,0,0..2,1,0..
54 : .0.3.6.1.5.4.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..4,1,1..5,0,1..1,0,0..0,1,0..3,1,1..4,0,1..5,0,0..4,1,0..2,1,1..3,0,1..0,0,0..6,1,0..1,1,1..2,0,1..4,0,0..3,1,0..6,1,1..0,0,1..2,0,0..1,1,0..5,1,1..6,0,1..3,0,0..2,1,0..
55 : .0.3.6.4.2.1.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..5,1,1..6,0,1..3,0,0..2,1,0..1,1,1..2,0,1..4,0,0..3,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..0,0,0..6,1,0..4,1,1..5,0,1..1,0,0..0,1,0..3,1,1..4,0,1..6,0,0..5,1,0..
56 : .0.4.1.3.5.6.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..5,1,1..6,0,1..5,0,0..4,1,0..1,1,1..2,0,1..6,0,0..5,1,0..6,1,1..0,0,1..2,0,0..1,1,0..3,1,1..4,0,1..0,0,0..6,1,0..2,1,1..3,0,1..1,0,0..0,1,0..4,1,1..5,0,1..3,0,0..2,1,0..
57 : .0.4.1.6.2.3.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..4,1,1..5,0,1..3,0,0..2,1,0..3,1,1..4,0,1..0,0,0..6,1,0..2,1,1..3,0,1..2,0,0..1,1,0..6,1,1..0,0,1..5,0,0..4,1,0..1,1,1..2,0,1..6,0,0..5,1,0..
58 : .0.4.2.1.3.6.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..3,1,1..4,0,1..0,0,0..6,1,0..5,1,1..6,0,1..3,0,0..2,1,0..1,1,1..2,0,1..4,0,0..3,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..1,0,0..0,1,0..4,1,1..5,0,1..6,0,0..5,1,0..
59 : .0.4.2.3.5.1.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..2,1,1..3,0,1..2,0,0..1,1,0..6,1,1..0,0,1..6,0,0..5,1,0..1,1,1..2,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..4,1,1..5,0,1..3,0,0..2,1,0..3,1,1..4,0,1..0,0,0..6,1,0..
60 : .0.4.2.3.5.6.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..6,1,1..0,0,1..1,0,0..0,1,0..4,1,1..5,0,1..3,0,0..2,1,0..3,1,1..4,0,1..0,0,0..6,1,0..1,1,1..2,0,1..4,0,0..3,1,0..5,1,1..6,0,1..5,0,0..4,1,0..2,1,1..3,0,1..2,0,0..1,1,0..
61 : .0.4.2.5.6.1.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..6,1,1..0,0,1..3,0,0..2,1,0..5,1,1..6,0,1..5,0,0..4,1,0..2,1,1..3,0,1..1,0,0..0,1,0..4,1,1..5,0,1..2,0,0..1,1,0..3,1,1..4,0,1..0,0,0..6,1,0..1,1,1..2,0,1..4,0,0..3,1,0..
62 : .0.4.3.1.2.6.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..6,1,1..0,0,1..5,0,0..4,1,0..3,1,1..4,0,1..0,0,0..6,1,0..5,1,1..6,0,1..2,0,0..1,1,0..2,1,1..3,0,1..4,0,0..3,1,0..1,1,1..2,0,1..1,0,0..0,1,0..4,1,1..5,0,1..6,0,0..5,1,0..
63 : .0.4.3.1.6.2.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..5,1,1..6,0,1..1,0,0..0,1,0..4,1,1..5,0,1..2,0,0..1,1,0..6,1,1..0,0,1..5,0,0..4,1,0..3,1,1..4,0,1..0,0,0..6,1,0..2,1,1..3,0,1..4,0,0..3,1,0..1,1,1..2,0,1..6,0,0..5,1,0..
64 : .0.4.3.5.2.1.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..6,1,1..0,0,1..6,0,0..5,1,0..2,1,1..3,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..4,1,1..5,0,1..3,0,0..2,1,0..1,1,1..2,0,1..5,0,0..4,1,0..3,1,1..4,0,1..0,0,0..6,1,0..
65 : .0.4.3.5.6.1.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..6,0,0..5,1,0..6,1,1..0,0,1..2,0,0..1,1,0..2,1,1..3,0,1..4,0,0..3,1,0..5,1,1..6,0,1..5,0,0..4,1,0..3,1,1..4,0,1..0,0,0..6,1,0..1,1,1..2,0,1..1,0,0..0,1,0..4,1,1..5,0,1..3,0,0..2,1,0..
